Severity
Group,Bin0,BinV1T1,BinV2T1,BinV1T2,BinV2T2
1,543,463,179,0,17
1,437,321,367,18,59
1,440,299,435,10,18
1,434,431,161,142,34
1,426,624,132,13,7
1,1202,0,0,0,0
1,1202,0,0,0,0
1,1202,0,0,0,0
 
 
Most Recent Alarms(MRA) for Group 1
MRA_Num,DateTime,ErrorText,Safety I/O,Vel J1[%],Vel J2[%],Vel J3[%],Vel J4[%],Vel J5[%],Vel J6[%],Vel J7[%],Vel J8[%],Torq J1[%],Torq J2[%],Torq J3[%],Torq J4[%],Torq J5[%],Torq J6[%],Torq J7[%],Torq J8[%],Angle J1[rad],Angle J2[rad],Angle J3[rad],Angle J4[rad],Angle J5[rad],Angle J6[rad],Angle J7[rad],Angle J8[rad],DistTorq J1[%],DistTorq J2[%],DistTorq J3[%],DistTorq J4[%],DistTorq J5[%],DistTorq J6[%],DistTorq J7[%],DistTorq J8[%]
1,9/15/2010 12:27:00,Limit error (G:%d^2  A:%x^3 Hex),,2.43,25.84,19.09,7.06,7.96,0,0,0,0,1.46,0.77,0.21,0.04,0,0,0,0.72,-0.59,1.75,-1.75,3.82,0,0,0,22.4256292906178,49.9375780274657,3.51648351648352,5.55386023802258,6.18131868131868,0,0,0
2,9/16/2010 10:12:36,Limit error (G:%d^2  A:%x^3 Hex),,1.44,11.21,8.04,2.64,2.6,0,0,0,0,0.26,0.03,0.3,0.04,0,0,0,0.47,-0.66,1.72,-1.72,3.55,0,0,0,17.162471395881,51.4357053682896,1.64835164835165,7.2627403112603,9.27197802197802,0,0,0
3,9/16/2010 10:40:22,Limit error (G:%d^2  A:%x^3 Hex),,0.12,5.42,3.74,1.8,1.29,0,0,0,0,0.01,0.13,0,0,0,0,0,0.57,-0.6,1.75,-1.75,3.61,0,0,0,13.1578947368421,71.0362047440699,8.46153846153846,8.3613060726274,5.97527472527473,0,0,0
4,9/16/2010 22:40:40,IMSTP input (Group:%d),Fence open\IMSTP,0.02,12.96,20.35,22.59,5.32,0,0,0,0,0.54,0,0.42,0.04,0,0,0,0.13,1.64,1.72,-1.69,-0.1,0,0,0,0,0,0,0,0,0,0,0
5,9/20/2010 08:21:44,Collision Detect alarm (G:%d A:%d),,6.44,3.46,21.19,15.94,2.37,0,0,0,0,0.03,0.19,0.64,0.02,0,0,0,1.27,0.69,1.6,-1.6,0.28,0,0,0,29.6338672768879,7.49063670411985,25.7142857142857,150.259383582545,59.9587912087912,0,0,0
6,9/20/2010 09:11:52,Collision Detect alarm (G:%d A:%d),,1.93,12.63,11.74,0.72,6.93,0,0,0,0,0.84,0,0.09,0.13,0,0,0,0.93,0.09,1.83,-1.83,-1.22,0,0,0,13.6155606407323,13.7328339575531,10.6593406593407,100.640830027464,23.1456043956044,0,0,0
7,9/20/2010 10:48:18,Collision Detect alarm (G:%d A:%d),,11.3,11.29,13.59,2.07,34.08,0,0,0,0,0.45,0,0.04,0.36,0,0,0,0.95,0.21,1.85,-1.85,-0.97,0,0,0,0.91533180778032,33.3333333333333,30.3296703296703,101.312175770522,1.16758241758242,0,0,0
8,9/21/2010 00:50:26,IMSTP input (Group:%d),Fence open\IMSTP,0.03,12.96,20.38,22.63,5.32,0,0,0,0,0.58,0,0.45,0.03,0,0,0,0.13,1.64,1.72,-1.69,-0.1,0,0,0,0,0,0,0,0,0,0,0
9,9/22/2010 00:29:46,IMSTP input (Group:%d),Fence open\IMSTP,0.03,12.96,20.37,22.62,5.33,0,0,0,0,0.54,0,0.4,0.03,0,0,0,0.13,1.64,1.72,-1.69,-0.1,0,0,0,0,0,0,0,0,0,0,0
10,9/23/2010 07:22:44,Collision Detect alarm (G:%d A:%d),,21.32,12.91,10.74,2.73,30.55,0,0,0,0,0.05,0.01,0.39,0.5,0,0,0,0.39,-0.3,1.83,-1.83,3.66,0,0,0,26.6590389016018,103.245942571785,123.736263736264,8.39182178822093,142.032967032967,0,0,0
Worst Disturbance Alarms for Group 1
Num,DateTime,ErrorText,Safety I/O,Vel J1[%],Vel J2[%],Vel J3[%],Vel J4[%],Vel J5[%],Vel J6[%],Vel J7[%],Vel J8[%],Torq J1[%],Torq J2[%],Torq J3[%],Torq J4[%],Torq J5[%],Torq J6[%],Torq J7[%],Torq J8[%],Angle J1[rad],Angle J2[rad],Angle J3[rad],Angle J4[rad],Angle J5[rad],Angle J6[rad],Angle J7[rad],Angle J8[rad],DistTorq J1[%],DistTorq J2[%],DistTorq J3[%],DistTorq J4[%],DistTorq J5[%],DistTorq J6[%],DistTorq J7[%],DistTorq J8[%]
1,3/16/2010 07:04:36,Door open or E.Stop,,0.44,1.63,9.49,6.5,1.29,0,0,0,0.61,0.03,0.04,0.01,0.04,0,0,0,1.03,-0.25,1.7,-1.7,1.91,0,0,0,8.12356979405034,8.48938826466916,21.4285714285714,157.949343912115,6.11263736263736,0,0,0
2,3/16/2010 07:04:36,Collision Detect alarm (G:%d A:%d),,0.44,1.63,9.49,6.5,1.29,0,0,0,0.61,0.03,0.04,0.01,0.04,0,0,0,1.03,-0.25,1.7,-1.7,1.91,0,0,0,8.12356979405034,8.48938826466916,21.4285714285714,157.949343912115,6.11263736263736,0,0,0
3,4/22/2010 07:41:52,Door open or E.Stop,,2.72,0.42,7.29,6.36,0.88,0,0,0,0.29,0.48,0.01,2.05,0.21,0,0,0,1.04,-0.29,1.69,-1.69,2,0,0,0,5.49199084668192,9.86267166042447,24.7252747252747,157.094903875496,7.89835164835165,0,0,0
4,4/22/2010 07:41:52,Collision Detect alarm (G:%d A:%d),,2.72,0.42,7.29,6.36,0.88,0,0,0,0.29,0.48,0.01,2.05,0.21,0,0,0,1.04,-0.29,1.69,-1.69,2,0,0,0,5.49199084668192,9.86267166042447,24.7252747252747,157.094903875496,7.89835164835165,0,0,0
5,1/19/2010 15:11:40,Door open or E.Stop,,39.64,82.73,103.21,16.87,17.25,0,0,0,0.48,0.37,0.68,0.27,0.11,0,0,0,1.27,0.53,1.65,-1.65,0.15,0,0,0,25.4004576659039,14.856429463171,21.7582417582418,156.484589563625,140.865384615385,0,0,0
6,1/19/2010 15:11:40,Collision Detect alarm (G:%d A:%d),,39.64,82.73,103.21,16.87,17.25,0,0,0,0.48,0.37,0.68,0.27,0.11,0,0,0,1.27,0.53,1.65,-1.65,0.15,0,0,0,25.4004576659039,14.856429463171,21.7582417582418,156.484589563625,140.865384615385,0,0,0
7,7/13/2010 07:50:58,Door open or E.Stop,,9.12,6.52,1.49,3.47,5.63,0,0,0,0.44,0.01,0.01,0.1,0.06,0,0,0,0.62,-0.46,1.77,-1.77,-1,0,0,0,4.34782608695652,82.521847690387,70.3296703296703,156.393042416845,102.197802197802,0,0,0
8,7/13/2010 07:50:58,Collision Detect alarm (G:%d A:%d),,9.12,6.52,1.49,3.47,5.63,0,0,0,0.44,0.01,0.01,0.1,0.06,0,0,0,0.62,-0.46,1.77,-1.77,-1,0,0,0,4.34782608695652,82.521847690387,70.3296703296703,156.393042416845,102.197802197802,0,0,0
9,2/10/2010 15:29:06,Collision Detect alarm (G:%d A:%d),,0.84,7.92,13.7,5.33,2.73,0,0,0,0.18,0.15,0.12,0.14,0.05,0,0,0,-1.11,0.52,1.65,-1.65,-0.41,0,0,0,51.487414187643,109.36329588015,53.5164835164835,155.202929508697,0.343406593406593,0,0,0
10,3/1/2010 12:48:02,Collision Detect alarm (G:%d A:%d),,82.89,97.29,88.82,9.1,5.72,0,0,0,0.41,8.41,1.96,0.15,0.05,0,0,0,1.13,0.06,1.75,-1.75,0,0,0,0,16.4759725400458,18.7265917602996,18.5714285714286,154.287458040891,12.5686813186813,0,0,0
